Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Slider Control #3	Slider #2
	Frame		
	804	0.853992	
	805	0.764676	
	806	0.754441	
	807	1.08311	
	808	0.893844	
	809	0.556639	
	810	0.5664	
	811	0.74022	
	812	0.940437	
	813	0.666035	
	814	0.968934	
	815	0.857061	
	816	0.766036	
	817	0.682065	
	818	0.74455	
	819	0.678478	
	820	0.721359	
	821	0.617583	
	822	0.758105	
	823	0.573035	
	824	0.702056	
	825	1.15555	
	826	0.853091	
	827	0.633545	
	828	0.914221	
	829	0.921421	
	830	1.07405	
	831	0.946374	
	832	1.68591	
	833	1.10875	
	834	0.74632	
	835	0.642636	
	836	0.53358	
	837	0.723624	
	838	0.601145	
	839	0.686304	
	840	0.564604	
	841	0.642817	
	842	0.503651	
	843	0.631259	
	844	1.01153	
	845	0.810454	
	846	1.15875	
	847	0.90386	
	848	0.799577	
	849	0.815624	
	850	0.761801	
	851	1.40254	
	852	0.641167	
	853	0.531558	
	854	0.72186	
	855	0.80414	
	856	0.523464	
	857	0.570369	
	858	0.521614	
	859	0.612315	
	860	0.935959	
	861	1.59587	
	862	0.952701	
	863	0.845207	
	864	0.756228	
	865	0.810856	
	866	0.88935	
	867	0.674229	
	868	1.38044	
	869	1.10064	
	870	1.15121	
	871	1.1223	
	872	0.582132	
	873	0.640559	
	874	0.546522	
	875	0.586185	
	876	1.34295	
	877	1.82301	
	878	1.03652	
	879	0.693007	
	880	0.58478	
	881	0.959109	
	882	0.642798	
	883	0.909462	
	884	1.15671	
	885	0.660641	
	886	0.578188	
	887	1.27532	
	888	1.0285	
	889	0.847843	
	890	0.988599	
	891	0.893993	
	892	1.76564	
	893	1.0512	
	894	0.435186	
	895	0.554322	
	896	1.24074	
	897	1.26085	
	898	0.765453	
	899	1.1367	
	900	0.811405	
	901	0.869537	
	902	1.04023	
	903	1.40255	
	904	0.838839	
	905	0.591393	
	906	0.552468	
